Class,Subject,Chapter,Section,Type,Question,Answer
Class 10,Science,Acid Base and Salt,Section A,MCQ,What is the pH of a neutral solution? a) 0 b) 7 c) 14 d) 1,b) 7
Class 10,Science,Acid Base and Salt,Section A,MCQ,Which acid is present in sour milk? a) Citric acid b) Lactic acid c) Acetic acid d) Tartaric acid,b) Lactic acid
Class 10,Science,Acid Base and Salt,Section A,MCQ,A solution turns red litmus blue its pH is likely to be? a) 1 b) 4 c) 5 d) 10,d) 10
Class 10,Science,Acid Base and Salt,Section A,MCQ,Which of the following is a strong acid? a) Acetic acid b) Citric acid c) Hydrochloric acid d) Tartaric acid,c) Hydrochloric acid
Class 10,Science,Acid Base and Salt,Section B,SHORT ANSWER,What is a neutralization reaction? Give one example.,The reaction between an acid and a base to give salt and water is called a neutralization reaction. Example: NaOH + HCl -> NaCl + H2O
Class 10,Science,Acid Base and Salt,Section B,SHORT ANSWER,What are olfactory indicators? Give one example.,Substances whose odour changes in acidic or basic media are called olfactory indicators. Example: Vanilla extract.
Class 10,Science,Acid Base and Salt,Section C,LONG ANSWER,Explain the chlor-alkali process with a chemical equation.,When electricity is passed through an aqueous solution of sodium chloride (brine) it decomposes to form sodium hydroxide. The process is called the chlor-alkali process. Equation: 2NaCl(aq) + 2H2O(l) -> 2NaOH(aq) + Cl2(g) + H2(g)
Class 10,Science,Acid Base and Salt,Section C,LONG ANSWER,What is baking soda? Write its chemical formula and two uses.,Baking soda is Sodium Hydrogen Carbonate. Formula: NaHCO3. Uses: 1) Used in baking powder to make cakes soft and spongy. 2) Used as an antacid in medicine to remove acidity of the stomach.
Class 10,Science,Light,Section A,MCQ,The focal length of a plane mirror is? a) 0 b) Infinite c) 25 cm d) -25 cm,b) Infinite
Class 10,Science,Light,Section A,MCQ,The image formed by a convex mirror is always? a) Virtual and erect b) Real and inverted c) Virtual and inverted d) Real and erect,a) Virtual and erect
Class 10,Science,Light,Section A,MCQ,Which of the following materials cannot be used to make a lens? a) Water b) Glass c) Plastic d) Clay,d) Clay
Class 10,Science,Light,Section A,MCQ,Twinkling of stars is due to atmospheric? a) Dispersion b) Refraction c) Scattering d) Internal reflection,b) Refraction
Class 11,Physics,Kinematics,Section A,MCQ,A particle moves with constant velocity. Its acceleration is? a) Positive b) Negative c) Zero d) Variable,c) Zero
Class 11,Physics,Kinematics,Section A,MCQ,The slope of a velocity-time graph gives? a) Distance b) Displacement c) Acceleration d) Speed,c) Acceleration
Class 11,Physics,Kinematics,Section B,SHORT ANSWER,Define uniform motion.,An object is said to be in uniform motion if it covers equal distances in equal intervals of time.
Class 11,Physics,Kinematics,Section C,LONG ANSWER,Derive the first equation of motion using graphical method.,By definition acceleration a = dv/dt. Therefore dv = a dt. Integrating both sides from time 0 to t and velocity u to v gives v - u = at or v = u + at.
Class 11,Chemistry,Structure of Atom,Section A,MCQ,Which subatomic particle has no charge? a) Electron b) Proton c) Neutron d) Positron,c) Neutron
Class 11,Chemistry,Structure of Atom,Section A,MCQ,The maximum number of electrons in a principal shell is given by? a) n^2 b) 2n c) 2n^2 d) n,c) 2n^2
Class 11,Chemistry,Structure of Atom,Section B,SHORT ANSWER,What is an isotope? Give one example.,Isotopes are atoms of the same element having the same atomic number but different mass numbers. Example Carbon-12 and Carbon-14.
Class 11,Chemistry,Structure of Atom,Section C,LONG ANSWER,Explain Bohrs model of an atom.,Electrons revolve around the nucleus in fixed circular paths called orbits. They do not radiate energy while in these discrete orbits.
